,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Alone
0,0,3,male,22.0,1,0,7.25,S,Mr,n
1,1,1,female,38.0,1,0,71.2833,C,Mrs,n
2,1,3,female,26.0,0,0,7.925,S,Miss,y
3,1,1,female,35.0,1,0,53.1,S,Mrs,n
4,0,3,male,35.0,0,0,8.05,S,Mr,y
5,0,3,male,32.25215146299484,0,0,8.4583,Q,Mr,y
6,0,1,male,54.0,0,0,51.8625,S,Mr,y
7,0,3,male,2.0,3,1,21.075,S,Master,n
8,1,3,female,27.0,0,2,11.1333,S,Mrs,n
9,1,2,female,14.0,1,0,30.0708,C,Mrs,n
10,1,3,female,4.0,1,1,16.7,S,Miss,n
11,1,1,female,58.0,0,0,26.55,S,Miss,y
12,0,3,male,20.0,0,0,8.05,S,Mr,y
13,0,3,male,39.0,1,5,31.275,S,Mr,n
14,0,3,female,14.0,0,0,7.8542,S,Miss,y
15,1,2,female,55.0,0,0,16.0,S,Mrs,y
16,0,3,male,2.0,4,1,29.125,Q,Master,n
17,1,2,male,32.25215146299484,0,0,13.0,S,Mr,y
18,0,3,female,31.0,1,0,18.0,S,Mrs,n
19,1,3,female,36.99411764705882,0,0,7.225,C,Mrs,y
20,0,2,male,35.0,0,0,26.0,S,Mr,y
21,1,2,male,34.0,0,0,13.0,S,Mr,y
22,1,3,female,15.0,0,0,8.0292,Q,Miss,y
23,1,1,male,28.0,0,0,35.5,S,Mr,y
24,0,3,female,8.0,3,1,21.075,S,Miss,n
25,1,3,female,38.0,1,5,31.3875,S,Mrs,n
26,0,3,male,32.25215146299484,0,0,7.225,C,Mr,y
27,0,1,male,19.0,3,2,263.0,S,Mr,n
28,1,3,female,21.774238095238097,0,0,7.8792,Q,Miss,y
29,0,3,male,32.25215146299484,0,0,7.8958,S,Mr,y
30,0,1,male,40.0,0,0,27.7208,C,Don,y
31,1,1,female,36.99411764705882,1,0,146.5208,C,Mrs,n
32,1,3,female,21.774238095238097,0,0,7.75,Q,Miss,y
33,0,2,male,66.0,0,0,10.5,S,Mr,y
